"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
7.7483590118382e-284,1.93198668410466,0.685,0.209,2.51318024548972e-279,"HTRA1"
7.92217891560336e-281,2.72269456001449,0.558,0.119,2.56955873127595e-276,"PPIC"
1.17389044766191e-279,1.77417586923014,0.718,0.239,3.80751366699142e-275,"UACA"
3.51301579048392e-278,1.92964713288041,0.597,0.139,1.13944667164346e-273,"NDN"
6.97033916678347e-278,2.61983582456386,0.535,0.106,2.26082950874622e-273,"LOXL2"
6.58701105406863e-275,2.81224185569175,0.436,0.044,2.13649703538716e-270,"MFAP2"
1.98200622710463e-274,0.756891253179289,0.726,0.215,6.42863719761386e-270,"IGFBP5"
5.55128680620567e-274,2.87881702660157,0.45,0.051,1.80055987559281e-269,"ABI3BP"
2.481245187629e-271,2.07462960426598,0.552,0.114,8.04791876607466e-267,"PXDN"
7.48945089566742e-271,1.52754685059104,0.714,0.224,2.42920339800973e-266,"CDC42EP5"
2.60256314002731e-268,2.79134717783686,0.49,0.079,8.44141354467857e-264,"THY1"
7.88222084152834e-268,1.23695935121761,0.663,0.186,2.55659832994972e-263,"TPM2"
8.71585540885701e-268,1.28179319334727,0.829,0.309,2.82698770186277e-263,"CNN3"
2.3534252843563e-267,3.73539032183532,0.381,0.023,7.63333490980967e-263,"FNDC1"
6.49414767662968e-266,2.53583319025024,0.429,0.043,2.10637679891484e-261,"PKDCC"
1.13257469385011e-264,2.62612365245825,0.434,0.046,3.67350601950283e-260,"EBF2"
2.25515797120816e-264,3.46898642924562,0.424,0.047,7.31460487961365e-260,"TNC"
1.56741358892894e-263,2.64246399980434,0.436,0.049,5.08390597569101e-259,"TWIST1"
1.5894868833171e-263,1.73562534494318,0.691,0.224,5.15550070603901e-259,"MDK"
3.79191837815788e-260,3.27743921557369,0.416,0.044,1.22990872595551e-255,"ASPN"
4.80856317679884e-260,1.67083013448085,0.683,0.223,1.5596574663947e-255,"LIMA1"
2.58790185135648e-259,-2.17951931243699,0.655,0.807,8.39385965487475e-255,"HLA-E"
9.75543669431697e-259,2.02911236421774,0.53,0.105,3.16417589180171e-254,"SMARCA1"
3.79547382375656e-257,1.19958748441347,0.924,0.419,1.23106193473544e-252,"SPARC"
1.16814343975395e-256,2.75569907245007,0.516,0.108,3.78887324684195e-252,"DLK1"
1.33783358797283e-256,1.31564864685357,0.781,0.275,4.33926324258987e-252,"COL4A2"
1.50868576977518e-255,2.35012793618498,0.61,0.175,4.89342229426579e-251,"CTHRC1"
7.71069701732379e-254,3.00746014452953,0.376,0.026,2.50096457756897e-249,"SVEP1"
2.70666736249059e-253,2.15970703529501,0.579,0.159,8.77907559023823e-249,"COPZ2"
1.28165908476226e-249,1.39552347710157,0.679,0.191,4.15706124142638e-245,"COL12A1"
1.9247563707153e-248,2.84594392261528,0.451,0.071,6.24294728841508e-244,"CTSK"
2.24621340047936e-248,-2.94245606844902,0.35,0.698,7.2855931644548e-244,"CD74"
1.59634825834353e-247,1.76823849037836,0.641,0.201,5.17775557593725e-243,"PALLD"
6.77356356188007e-247,3.07123654540964,0.397,0.041,2.1970053412958e-242,"GAS2"
2.28609388879979e-246,1.93047438938761,0.539,0.115,7.41494552832211e-242,"SSPN"
2.64810528103507e-245,-2.71625371362853,0.207,0.623,8.58912947903725e-241,"SRGN"
3.25345459331816e-245,3.34156153579184,0.367,0.027,1.05525799734274e-240,"LRRC17"
2.41148325037398e-243,3.41706046348671,0.363,0.026,7.82164592258802e-239,"PDGFRA"
3.71900895893185e-242,2.68858876537966,0.425,0.057,1.20626055582954e-237,"MEIS3"
