"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"COL6A1",9.39775613493541e-183,-3.53858338343657,0.375,0.994,3.0481622023663e-178
"COL6A2",1.83693317010464e-182,-3.44856138461019,0.454,0.992,5.95809273723441e-178
"COL1A1",4.03339081047074e-176,-4.62654306002892,0.532,0.989,1.30823030937619e-171
"COL6A3",3.59180865331677e-174,-5.95307665098576,0.056,0.894,1.16500313670329e-169
"COL3A1",2.0706589943273e-171,-4.05824325249494,0.431,0.98,6.71618244810061e-167
"COL1A2",1.96799155504749e-166,-4.13720899964455,0.539,0.978,6.38318060879655e-162
"PCOLCE",3.28793666742361e-153,-4.04594347125115,0.145,0.893,1.06644225807885e-148
"DCN",4.18156085484e-144,-3.78144573502775,0.158,0.887,1.35628926326735e-139
"OGN",1.06820712962722e-130,-4.7595087353398,0.089,0.791,3.46472982494589e-126
"ISLR",1.81362422131504e-130,-3.87345515082033,0.189,0.855,5.88249016183534e-126
"FGFR1",7.31160562045836e-128,-4.09860885514462,0.121,0.816,2.37151928299567e-123
"LUM",1.10055397338401e-127,-3.88431248774251,0.133,0.817,3.56964681267105e-123
"CALD1",2.28627229450777e-126,-2.39346543426793,0.44,0.939,7.41552418723596e-122
"B2M",2.04424259988608e-119,2.55052938918641,0.967,0.876,6.6305008727305e-115
"TSHZ2",3.61628195190449e-116,-3.51287284515085,0.205,0.822,1.17294105110022e-111
"POSTN",5.14235817482983e-116,-3.49801148082019,0.172,0.811,1.66792387400606e-111
"MGP",1.27408011075681e-113,-2.51575776255463,0.461,0.92,4.1324788392397e-109
"CFH",3.25425699658042e-113,-3.71194762593073,0.119,0.773,1.05551825684086e-108
"FSTL1",2.75096289971283e-108,-2.44428896295225,0.238,0.838,8.92274816521858e-104
"IGF2",3.67742389327173e-105,-3.8292589432053,0.184,0.778,1.19277243978268e-100
"CDH11",3.01872457821937e-103,-4.2046159575745,0.058,0.666,9.79123316945452e-99
"GPC3",4.07923931425665e-103,-3.91915617697621,0.065,0.682,1.32310127157914e-98
"THBS4",1.31102878268155e-101,-4.66675591281332,0.137,0.731,4.2523218566276e-97
"MEG3",2.31973775593347e-101,-2.55565387586851,0.361,0.888,7.52406941137021e-97
"MEST",1.10564740013918e-100,-2.82279927083447,0.091,0.717,3.58616734235143e-96
"DLK1",3.05505455034113e-100,-3.65149109271055,0.172,0.751,9.90906943403144e-96
"COL5A2",7.9338451006067e-100,-2.18785592617096,0.356,0.894,2.57334265838178e-95
"NPW",1.26705968468024e-98,-3.75528555970254,0.119,0.709,4.10970808726036e-94
"LAMB1",3.48892421511536e-98,-2.41836096360825,0.357,0.883,1.13163256917267e-93
"FKBP10",4.19386544904767e-96,-2.68863582305077,0.273,0.803,1.36028025839861e-91
"TTC3",1.03471225327644e-95,-2.14048551597724,0.501,0.893,3.35608919350215e-91
"MRC2",9.34069169086067e-95,-3.07355099080633,0.088,0.677,3.02965334993066e-90
"FMOD",9.78219648921733e-95,-3.59485815776177,0.061,0.65,3.17285543127764e-90
"CPXM1",1.47211293074052e-93,-3.68442353463934,0.06,0.638,4.77479829085687e-89
"EMILIN1",3.1424417909672e-93,-2.81358956724336,0.222,0.77,1.01925099490021e-88
"BGN",9.61757865410338e-93,-3.20800297205811,0.093,0.672,3.11946163645843e-88
"MMP2",1.81556519791593e-92,-3.10532413235585,0.158,0.735,5.88878571944032e-88
"BOC",4.28828563353548e-89,-3.9217535660999,0.065,0.62,1.39090544523723e-84
"CPE",3.58602284244401e-88,-2.2911715937731,0.151,0.74,1.16312650894672e-83
"COL5A1",6.97708793170922e-88,-2.25420303990891,0.243,0.778,2.26301847064989e-83
"MFAP4",9.69515707537442e-88,-3.71551190436223,0.063,0.616,3.14462419739769e-83
"APOD",2.67454029266218e-87,-1.99212296931304,0.25,0.772,8.67487143924978e-83
"CYGB",2.25163359737316e-85,-3.32108068918818,0.091,0.646,7.30317357307984e-81
"PRRX1",1.36011382784953e-82,-3.78703105424582,0.074,0.602,4.41152920062996e-78
"ITM2A",3.82242260551714e-82,-3.19612371154481,0.158,0.696,1.23980277209949e-77
"MEOX2",1.39720638420214e-81,-2.81200216015168,0.084,0.63,4.53183890715964e-77
"SRGN",2.63190362237422e-81,4.38418483248196,0.599,0.099,8.53657939917078e-77
"FBLN1",3.21896210065986e-81,-3.48662464597628,0.088,0.622,1.04407035734902e-76
"FBN1",4.95387712969813e-81,-2.8240099012302,0.217,0.723,1.60679004701759e-76
"CD74",1.09963010105069e-78,4.16688550700587,0.702,0.246,3.5666502327579e-74
"HLA-C",1.81702597796959e-78,2.45622113432432,0.849,0.561,5.89352375954438e-74
"CRABP2",4.45733697886394e-77,-3.41357656445809,0.065,0.576,1.44573724909452e-72
"C1S",8.22427594749364e-77,-3.29598237678601,0.135,0.639,2.66754390356956e-72
"FAT1",1.0440780911855e-76,-2.45633701418061,0.221,0.735,3.38646728876015e-72
"BTG1",9.29541128073431e-76,2.66194957754867,0.821,0.526,3.01496664890617e-71
"DUSP1",2.51680868259535e-75,2.88274320365617,0.771,0.334,8.16326896199803e-71
"EGFR",3.91489945060346e-75,-3.39774668762256,0.065,0.561,1.26979763680323e-70
"CCDC80",1.14397571712023e-74,-3.36057441964716,0.1,0.603,3.71048523847945e-70
"MXRA8",4.08055937232794e-74,-2.03236684205857,0.257,0.77,1.32352943241457e-69
"LAPTM5",5.26078350067449e-73,4.32324192224049,0.508,0.052,1.70633512844377e-68
"SLIT3",1.23086413285744e-72,-2.89397808286661,0.053,0.54,3.99230781492311e-68
"HLA-DPA1",1.88376099854325e-72,4.20461544261006,0.643,0.178,6.10997879877504e-68
"HLA-B",9.03023578483551e-72,2.30493098922464,0.87,0.619,2.9289569768114e-67
"PDGFRB",4.73835952494292e-71,-3.35449364963022,0.086,0.567,1.53688691191524e-66
"ELN",1.54343857003816e-70,-3.29278790643944,0.063,0.542,5.00614300191878e-66
"FXYD5",1.84768730304481e-70,2.92477323727322,0.615,0.156,5.99297376742585e-66
"LRP1",8.39175102243826e-70,-1.79270523512322,0.461,0.844,2.72186444412785e-65
"UACA",2.27674102415012e-69,-2.21662975167231,0.301,0.75,7.38460951183092e-65
"PLEKHH2",3.60645708245497e-69,-4.07299010212281,0.037,0.494,1.16975435469427e-64
"NFIX",7.43625086426141e-69,-2.53739502493567,0.18,0.666,2.41194796782319e-64
"SERPINF1",1.41125026745176e-68,-2.74262409731264,0.166,0.66,4.57739024247978e-64
"BICC1",1.50112922145074e-68,-3.3218345545825,0.056,0.524,4.86891262977548e-64
"CYBA",2.34275767317832e-68,2.99608808105121,0.762,0.416,7.59873451295386e-64
"HLA-DRB1",1.43224660001536e-66,4.1391696492566,0.692,0.29,4.64549184714983e-62
"COL16A1",1.96027943531454e-66,-3.01562252119526,0.119,0.586,6.3581663484427e-62
"OLFML3",2.43499443966892e-66,-2.46158426616733,0.142,0.619,7.89790446506614e-62
"IGFBP7",6.38496533032528e-66,-0.712373154893208,0.443,0.872,2.07096350489101e-61
"IGFBP4",1.67392134546897e-65,-2.17728310450175,0.32,0.769,5.4293638840286e-61
"RRBP1",2.99087813276008e-65,-1.7510031665169,0.403,0.808,9.70091322360733e-61
"HLA-A",4.89088985020333e-65,1.81155036161719,0.858,0.669,1.58636012291345e-60
"TFPI",8.47697336978842e-65,-2.72353641567681,0.138,0.602,2.74950631249087e-60
"MFAP2",2.32122020511491e-64,-3.78717931286176,0.051,0.485,7.52887773529022e-60
"SON",9.93622802857545e-64,-1.41357335721954,0.725,0.924,3.22281556106845e-59
"RPL4",6.44676622008188e-63,-1.4149047396781,0.702,0.913,2.09100862348356e-58
"GAS2",1.86849042773813e-62,-3.17171606711569,0.065,0.502,6.06044870236861e-58
"FTH1",8.14267672324873e-61,2.02864548293865,0.954,0.935,2.64107719518572e-56
"HLA-E",1.25273997917015e-60,2.17178069562224,0.799,0.535,4.06326212243838e-56
"EDNRA",7.03412254703644e-60,-4.45149283785804,0.028,0.433,2.28151764813127e-55
"GLT8D2",1.39929026955951e-59,-4.03220136605911,0.054,0.468,4.53859798931626e-55
"ABI3BP",2.04534371206508e-59,-3.63056230467171,0.039,0.45,6.63407233008308e-55
"ABCA10",3.2213534474599e-59,-4.47515250855997,0.063,0.474,1.04484599068362e-54
"RP11-14N7.2",1.13516747364758e-58,-2.07950969271416,0.187,0.646,3.68191570077593e-54
"SMARCA1",1.88775692229526e-58,-3.09995281582422,0.11,0.539,6.12293957746467e-54
"PTPRC",3.08908603972436e-58,5.16409405010835,0.384,0.019,1.00194505698459e-53
"MMP14",5.28416476167053e-58,-2.50102474566432,0.203,0.625,1.71391884044784e-53
"ZFHX4",5.73141669608454e-58,-2.43142912135246,0.189,0.619,1.85898500537502e-53
"TMEM98",7.48415821822717e-58,-2.89916652862333,0.102,0.526,2.42748671808198e-53
"KCNQ1OT1",1.47557030919773e-57,-2.41033085579743,0.252,0.666,4.78601229788285e-53
"AEBP1",2.06658292842451e-57,-2.25618256969865,0.27,0.693,6.70296172834491e-53
"CAPN6",2.69992904759249e-57,-4.69954060652106,0.016,0.398,8.75721986586625e-53
"SMAD3",4.19771311695396e-57,-2.86813148238703,0.135,0.559,1.36152824948402e-52
"AP1S2",6.75880879697804e-57,3.17462634852293,0.543,0.145,2.19221963329983e-52
"CDC42EP5",7.11841114875242e-57,-1.81425986963034,0.28,0.717,2.30885665609785e-52
"DDR2",1.09709387323356e-56,-2.36667959876148,0.198,0.622,3.55842397783305e-52
"NEO1",1.25492430620574e-56,-3.78691420136118,0.06,0.46,4.07034698717832e-52
"CCND2",1.33950327343409e-56,-1.71669489836452,0.385,0.753,4.34467886738349e-52
"TPM2",1.80314374426144e-56,-2.38336820888147,0.187,0.611,5.84849673451199e-52
"LHFP",2.12889201545466e-56,-2.14774173818708,0.224,0.657,6.90506125212718e-52
"CLEC11A",2.56961149276768e-56,-2.48065632889638,0.186,0.605,8.33453487679197e-52
"LAMA2",3.12050337176262e-56,-2.0090566087793,0.271,0.72,1.01213526863121e-51
"FN1",3.94810224415316e-56,-2.0221741251936,0.371,0.776,1.28056696289108e-51
"NRK",3.99511872572656e-56,-5.8302999964713,0.018,0.391,1.29581675868941e-51
"MDK",5.12199735820426e-56,-1.92503932256682,0.252,0.688,1.66131984313355e-51
"FOS",1.02564014499665e-55,1.90706143094077,0.848,0.512,3.32666381029663e-51
"NFIB",1.10946514719403e-55,-1.79393233308661,0.313,0.742,3.59855020492384e-51
"COLEC12",2.82887668783737e-55,-2.26878896603805,0.133,0.575,9.17546153700052e-51
"PTN",6.79269357435108e-55,-1.91296615051237,0.342,0.765,2.20321016084077e-50
"TNC",6.82834047826704e-55,-4.01226238008455,0.063,0.457,2.21477223412591e-50
"VCAN",1.13829217806664e-54,-2.4688633913796,0.2,0.627,3.69205067955916e-50
"MXRA5",1.42842152284807e-54,-3.67705302715333,0.039,0.422,4.63308520935773e-50
"SFRP2",1.80115774951861e-54,-3.94523084762863,0.047,0.439,5.8420551605636e-50
"FIBIN",2.60586842243821e-54,-3.64817511207253,0.054,0.443,8.45213422817833e-50
"NDN",5.68943676762021e-54,-2.59514081965095,0.158,0.572,1.84536881557762e-49
"EBF1",6.92640250808003e-54,-2.8525588752763,0.084,0.488,2.24657865349576e-49
"SEPT11",8.74046583571827e-54,-2.09998302684558,0.291,0.679,2.83497009381522e-49
"MEIS3",9.44727721794192e-54,-3.31419127879763,0.068,0.457,3.06422436563946e-49
"VAMP8",1.06864555962063e-53,4.82224073903844,0.413,0.055,3.46615187262951e-49
"OLFML2B",1.09294798379815e-53,-2.68665635681046,0.173,0.591,3.54497678544931e-49
"EBF2",3.44032943308964e-53,-3.31522678042093,0.037,0.417,1.11587085162263e-48
"HLA-DRA",5.06532215861779e-53,3.92176904889518,0.601,0.231,1.64293724214768e-48
"SMO",5.35249843517087e-53,-4.13669284319613,0.039,0.413,1.73608286744767e-48
"KDM5B",5.59591188072644e-53,-2.08163872407123,0.203,0.613,1.81503401851362e-48
"HCST",6.87356855987838e-53,4.2992264888543,0.405,0.047,2.22944196239655e-48
"TCF4",7.62838347322477e-53,-1.47085409478122,0.371,0.769,2.47426617954045e-48
"BMP5",9.88774406906816e-53,-4.09360819866096,0.026,0.392,3.20708978880226e-48
"LOXL2",1.05503174612653e-52,-2.56573835726784,0.17,0.57,3.42199546856141e-48
"CYTL1",1.6837387129519e-52,-3.02060088849409,0.093,0.49,5.46120651545947e-48
"MDFI",1.90060178573026e-52,-3.06820201170107,0.081,0.471,6.16460189201611e-48
"CTSC",1.92231137819585e-52,2.71859234693363,0.594,0.217,6.23501695517825e-48
"CTHRC1",3.88468529024151e-52,-2.24278980567998,0.168,0.58,1.25999767388983e-47
"LRRC17",6.02435077720721e-52,-3.15653639318504,0.035,0.406,1.95399817458716e-47
"CTSS",8.36397412096494e-52,4.14250939163699,0.438,0.077,2.71285500613498e-47
"ABCA9",1.4866194252476e-51,-3.79779377384751,0.054,0.428,4.82185010579058e-47
"FGL2",1.55338874123903e-51,4.0648158498703,0.387,0.038,5.03841638220878e-47
"CD37",2.15525027841695e-51,5.11065700386065,0.361,0.027,6.99055427804538e-47
"JUNB",1.30758354088211e-50,2.11151560571696,0.765,0.43,4.24114721485112e-46
"ITGB2",2.90970468520504e-50,4.04187652106972,0.364,0.031,9.43762714646255e-46
"FCER1G",3.03763589492829e-50,4.83270756428997,0.368,0.035,9.8525720251999e-46
"PALLD",5.65014624691872e-50,-2.21472979025565,0.261,0.641,1.83262493518809e-45
"TMSB4X",9.01742372141645e-50,1.7084177658134,0.944,0.929,2.92480138404142e-45
"TPM1",9.0928591633255e-50,-2.05938524310653,0.312,0.676,2.94926886962463e-45
"PXDN",1.05502493093025e-49,-2.32839350339199,0.145,0.539,3.42197336347227e-45
"PLAGL1",1.07563707306768e-49,-2.59466588991656,0.187,0.572,3.48882884649502e-45
"FXYD1",1.68097573938965e-49,-3.1309904201616,0.06,0.428,5.45224481071034e-45
"GPX8",2.35723409713752e-49,-2.32515615293141,0.186,0.567,7.64568879406556e-45
"7SK.2",2.83376947642738e-49,-1.84867120847807,0.327,0.671,9.1913312967922e-45
"RNF212",6.81234383670855e-49,-3.69088574223467,0.046,0.402,2.20958372343642e-44
"ARHGDIB",2.42306942676598e-48,3.12339683129246,0.445,0.088,7.85922568571544e-44
"ASPN",2.49065325563775e-48,-3.8085467143341,0.042,0.394,8.07843383466105e-44
"CD53",3.94389614497331e-48,4.87189975571675,0.331,0.019,1.27920271462209e-43
"HTRA1",1.29532166863799e-47,-1.81341568260617,0.228,0.633,4.20137583222732e-43
"ENAH",1.33952056778748e-47,-2.72736427228734,0.095,0.465,4.34473496161868e-43
"THY1",1.57915317497897e-47,-2.88938087153168,0.072,0.446,5.1219833230443e-43
"CFL1",1.94895576775022e-47,1.24028970352928,0.842,0.671,6.32143803269784e-43
"TPTEP1",3.55518130798329e-47,-3.74832838573244,0.054,0.403,1.15312305724438e-42
"RNASE1",3.76893322672553e-47,4.66683621041563,0.415,0.072,1.22245349208842e-42
"ARHGAP15",5.11581920056179e-47,4.14714166161482,0.336,0.024,1.65931595770222e-42
"HLA-DQA1",5.61569611950818e-47,4.38945756851431,0.378,0.05,1.82145103636248e-42
"NFIA",6.45817701320782e-47,-1.87077948437468,0.327,0.698,2.09470971423396e-42
"CD9",9.18870757568601e-47,2.26147359976862,0.571,0.219,2.98035730217376e-42
"NUCKS1",9.50309818916938e-47,-1.33088706911924,0.594,0.863,3.08232989765709e-42
"PPP1R15A",1.00263381282184e-46,2.28615423462414,0.725,0.43,3.25204277188764e-42
"FMO1",1.2002304633503e-46,-5.39914627990075,0.011,0.328,3.89294750787671e-42
"SCXA",2.8785693856788e-46,-2.6375200317154,0.089,0.452,9.3366398024492e-42
"GMFG",3.01046991827701e-46,3.84029417164686,0.389,0.06,9.76445917993148e-42
"CRABP1",3.02789747089198e-46,-3.13605401327539,0.047,0.394,9.82098544683814e-42
"SSPN",3.06299231020943e-46,-2.17430401472053,0.137,0.518,9.93481555816427e-42
"TYROBP",3.71889441830949e-46,4.53688260203248,0.392,0.066,1.20622340457868e-41
"RUNX1T1",4.45440973165891e-46,-2.83732062412388,0.109,0.479,1.44478779646357e-41
"TSPAN3",4.81866208749725e-46,-1.91049871726203,0.319,0.671,1.56293304807973e-41
"HLA-DPB1",6.55068301904506e-46,4.03151722257,0.595,0.277,2.12471403722727e-41
"HIC1",6.73698607871104e-46,-2.84648073291882,0.081,0.444,2.18514143462992e-41
"PTMS",6.82966430470913e-46,-1.17080980180674,0.574,0.852,2.21520161723241e-41
"IL11RA",7.9891643102478e-46,-3.45539614740315,0.089,0.441,2.59128544402887e-41
"CXCL12",1.05942983738911e-45,-2.16112030699302,0.105,0.483,3.43626067757157e-41
"TWIST1",1.07020055620888e-45,-2.52838093755602,0.067,0.422,3.47119550406349e-41
"MORF4L1",2.8097947516589e-45,-1.10646364448142,0.678,0.894,9.11356927700566e-41
"AFF3",4.67449622919723e-45,-2.81355851911178,0.126,0.493,1.51617285194012e-40
"PYCR1",5.16145777600821e-45,-2.63446214392401,0.086,0.446,1.67411882964826e-40
"C1R",9.35330436127676e-45,-3.00345007086484,0.156,0.518,3.03374426958012e-40
"PTPRG",3.3660456675818e-44,-2.27343355101877,0.123,0.493,1.09177691228016e-39
"SIX1",7.32118217401185e-44,-3.59038055868126,0.028,0.348,2.37462543814074e-39
"MT-CYB",8.19771453493693e-44,-1.54887571108738,0.485,0.713,2.65892870940679e-39
"GPSM3",8.31221862191428e-44,3.87546368354039,0.378,0.061,2.6960681100179e-39
"FBN2",8.58450392676697e-44,-4.45201304122494,0.032,0.348,2.78438384864687e-39
"PTK7",1.73198953197513e-43,-3.63076345193458,0.042,0.367,5.61770804696135e-39
"PKDCC",2.5990477072436e-43,-2.66169148903302,0.053,0.386,8.43001123844462e-39
"FNDC1",2.92064107676895e-43,-3.71480659120678,0.025,0.339,9.4730993325001e-39
"OLFM2",3.15601144996374e-43,-2.94126480557283,0.065,0.405,1.02365231379574e-38
"SEPT6",3.18760667138725e-43,-1.67240883831922,0.257,0.631,1.03390022386446e-38
"PDGFRA",3.82371190695408e-43,-4.98724408651509,0.016,0.318,1.24022095702055e-38
"SETBP1",4.08245383051758e-43,-2.60716560073151,0.079,0.428,1.32414389992838e-38
"CDO1",7.75035900649084e-43,-3.89996140330176,0.018,0.321,2.5138289437553e-38
"RGS1",9.69438874175277e-43,4.58349651882317,0.319,0.027,3.14437498838751e-38
"COL4A1",9.81259815257107e-43,-1.29944032635062,0.356,0.735,3.18271621078643e-38
"SPARCL1",1.22596925667003e-42,-0.141624628587108,0.149,0.567,3.97643128400924e-38
"HLA-DQB1",1.27749784089029e-42,4.24129058922219,0.37,0.058,4.14356424692765e-38
"TMSB10",1.80973011653792e-42,1.01444331887499,0.942,0.924,5.86985963299073e-38
"MALAT1",1.92194436887553e-42,0.824341949683868,0.989,0.992,6.23382656044777e-38
"PCDH18",2.83418673290109e-42,-3.26640644383692,0.021,0.326,9.19268466816469e-38
"THSD4",3.9479276552362e-42,-2.7232376628792,0.089,0.436,1.28051033497586e-37
"SPARC",4.33578438439255e-42,-0.82486559767765,0.499,0.937,1.40631166507772e-37
"VASN",7.8972471354874e-42,-4.3245590847192,0.026,0.331,2.56147210839534e-37
"SVEP1",7.90543609075064e-42,-3.06024889305212,0.033,0.346,2.56412819603497e-37
"ANXA1",9.46696944002501e-42,2.05498989739799,0.729,0.419,3.07061153787211e-37
"PTGIS",1.10649358722406e-41,-3.36731943458218,0.028,0.335,3.58891195016122e-37
"COL4A2",1.52277297416737e-41,-1.15721408181687,0.405,0.792,4.93911414171185e-37
"LCP1",1.63324373347143e-41,4.68351830473432,0.305,0.024,5.29742604951458e-37
"LOXL1",1.72474965196212e-41,-3.08389521168988,0.033,0.345,5.59422549613913e-37
"PPIB",2.69049498115024e-41,-1.21595526741489,0.734,0.869,8.7266204713608e-37
"LYZ",2.90611956673857e-41,5.36034245054297,0.347,0.05,9.42599881471655e-37
"AIF1",3.05489399740322e-41,4.36354626824781,0.342,0.047,9.90854868057734e-37
"LUC7L3",3.06038501654188e-41,-1.42765620006843,0.532,0.814,9.92635880115358e-37
"MSX1",3.71843002938876e-41,-4.28498756847028,0.039,0.345,1.20607278003224e-36
"C1QC",5.3948682134447e-41,4.77691662103675,0.324,0.036,1.74982550503079e-36
"LIFR",1.74040942323674e-40,-2.40845503101953,0.142,0.494,5.64501796426838e-36
"CD276",1.82318266743323e-40,-2.12114150305881,0.182,0.529,5.91349298181967e-36
"AL132709.5",2.49525455345197e-40,-2.64967381446309,0.075,0.397,8.09335814412148e-36
"GIMAP4",2.85351296724364e-40,4.73452572045655,0.292,0.02,9.25536930925473e-36
"HLA-DMB",3.24481208618263e-40,3.96222911261324,0.315,0.033,1.05245480015333e-35
"NFATC4",3.41197975110075e-40,-3.09817394595365,0.049,0.362,1.10667563226953e-35
"PPIC",5.47031979996352e-40,-2.44080757317161,0.114,0.449,1.77429822711817e-35
"COPZ2",6.74931463196952e-40,-2.11888213020503,0.187,0.526,2.18914020087931e-35
"MS4A6A",8.27776225878276e-40,4.77851183943866,0.31,0.033,2.68489218863619e-35
"GNAI1",9.8581573300692e-40,-2.7408703897621,0.131,0.466,3.19749333000794e-35
"SPRY1",1.34796057410831e-39,-1.78214285973146,0.257,0.622,4.3721101221203e-35
"C1QB",3.14484680990232e-39,4.86251448457031,0.327,0.046,1.02003106279182e-34
"BMP1",4.08259307917012e-39,-2.41039483609035,0.124,0.455,1.32418906522883e-34
"FSCN1",5.44265124065798e-39,-1.4034596964585,0.264,0.62,1.76532392990742e-34
"QPRT",8.64242398812762e-39,-1.77559138571808,0.119,0.457,2.8031702205492e-34
"TGFBI",9.83096373818687e-39,-1.43417382424861,0.347,0.69,3.18867308848091e-34
"HIF3A",1.20353738111023e-38,-3.64095982418645,0.033,0.326,3.90367349563104e-34
"S100A10",1.43148494802066e-38,1.94075341155174,0.755,0.55,4.643021428905e-34
"NREP",1.58379220527263e-38,-1.82041334472547,0.166,0.504,5.13703001780177e-34
"SPI1",1.64880348474018e-38,4.61873857749338,0.298,0.03,5.34789410275477e-34
"CXCR4",1.99700300946524e-38,3.73023385294336,0.426,0.121,6.4772792612005e-34
"CD14",2.19660632186125e-38,4.80064412520486,0.347,0.061,7.12469260495696e-34
"ITM2C",2.67715914254344e-38,-1.32851922461802,0.389,0.742,8.68336567883965e-34
"NR4A2",2.98441995885974e-38,2.43550541836861,0.538,0.224,9.67996613656156e-34
"LINC00657",3.50853195476002e-38,-1.32507447670066,0.455,0.753,1.13799233952641e-33
"CRISPLD1",3.70555310213883e-38,-3.2847221373228,0.042,0.339,1.20189614867873e-33
"P4HB",4.9261489896274e-38,-1.16139980879357,0.585,0.809,1.59779642478565e-33
"DENND2A",5.30147151481883e-38,-3.02860311732068,0.046,0.342,1.71953228583149e-33
"COL21A1",6.36421233326567e-38,-4.50956418035179,0.032,0.313,2.06423227029472e-33
"COL11A1",6.79015531125783e-38,-1.96200107242044,0.121,0.465,2.20238687520648e-33
"CBX3",7.98758424043556e-38,-1.36357728958544,0.438,0.726,2.59077294838527e-33
"TGFB2",1.09539673009913e-37,-2.84677336899592,0.068,0.378,3.55291929407653e-33
"MT-ATP6",1.42632500861864e-37,-1.27966493615923,0.497,0.713,4.62628516545455e-33
"LTBP1",1.8347936845991e-37,-3.09902534349853,0.049,0.346,5.95115331599718e-33
"CHODL",1.88920468476658e-37,-3.65758254515007,0.035,0.323,6.12763539504042e-33
"MT-CO2",2.30889944533261e-37,-1.21187550500511,0.497,0.717,7.48891535093632e-33
"EEF2",2.33621262365626e-37,-1.01646139066073,0.664,0.857,7.57750564482909e-33
"ANGPTL1",3.29381058781746e-37,-4.13689735065558,0.03,0.309,1.06834746415859e-32
"TSPO",3.83283111414981e-37,1.8221035209926,0.627,0.324,1.24317877187449e-32
"RCN3",4.73863587081832e-37,-2.42867440517311,0.112,0.43,1.53697654469992e-32
"FYB",5.08732313773446e-37,4.99294139330167,0.268,0.017,1.65007325972417e-32
"HCLS1",6.80386653313198e-37,4.74388788524907,0.294,0.033,2.20683411002136e-32
"FCGR3A",1.2624607821883e-36,4.55440637704875,0.28,0.025,4.09479154702775e-32
"COL4A5",1.36855827029778e-36,-3.94957459126926,0.026,0.299,4.43891874971086e-32
"CSF1R",1.51498066172779e-36,4.13467628862222,0.278,0.024,4.9138397763141e-32
"CTSK",1.58805972454063e-36,-3.4908514830318,0.051,0.34,5.15087171654752e-32
"LRRN3",1.64746260631945e-36,-4.03462231893613,0.03,0.306,5.34354496359715e-32
"HDLBP",2.58879074955566e-36,-1.20107389741577,0.455,0.715,8.39674279618378e-32
"MT-CO3",3.22048481747911e-36,-1.20233954940877,0.494,0.713,1.04456425054935e-31
"TNMD",3.78231157038614e-36,-3.66992591969007,0.026,0.299,1.22679275785474e-31
"MT-ND4",4.25538153643442e-36,-1.2267094352523,0.497,0.715,1.38023300134251e-31
"NEAT1",4.57866005008577e-36,1.32012190830609,0.86,0.717,1.48508838724532e-31
"NPM1",4.62811486398128e-36,-1.15439370031942,0.713,0.874,1.50112905613233e-31
"ZEB1",4.93130938094202e-36,-1.59322690004547,0.242,0.589,1.59947019770855e-31
"CALU",5.5203664545636e-36,-1.19553003587854,0.433,0.735,1.7905308595377e-31
"FCGR2B",6.30107057125972e-36,5.04697442115231,0.266,0.02,2.04375223978809e-31
"RBFOX2",6.65333699714468e-36,-1.43583453680336,0.275,0.606,2.15800985502388e-31
"EMILIN3",6.97444594125317e-36,-4.00196878325592,0.016,0.276,2.26216154104546e-31
"PTPRE",7.24126404743067e-36,2.19325219334524,0.475,0.154,2.34870399378414e-31
"SAMHD1",1.6031655065362e-35,2.10529435366099,0.511,0.203,5.19986732045018e-31
"PLD3",1.64237604095514e-35,-1.0268535626918,0.532,0.797,5.32704668883798e-31
"KDELR2",1.80040351703217e-35,-1.88454125796444,0.25,0.551,5.83960880749385e-31
"EVI2B",2.99219394372442e-35,4.64585475982357,0.259,0.019,9.70518105647017e-31
"CACNA2D1",3.16225629519948e-35,-3.39904587410241,0.065,0.353,1.02567782934795e-30
"FOSB",3.36577864063012e-35,1.51811830121517,0.683,0.365,1.09169030208838e-30
"EDIL3",3.6389226038526e-35,-2.63480157704567,0.04,0.321,1.18028454655959e-30
"RPL13A",3.97250836195351e-35,-0.932512858201452,0.592,0.874,1.28848308719962e-30
"TENM2",4.64172316257242e-35,-3.49702479634274,0.058,0.343,1.50554290778036e-30
"SEPT7",6.64093464741622e-35,-1.08021319978872,0.643,0.839,2.15398715288945e-30
"SOBP",6.84279506915801e-35,-3.70778717957518,0.035,0.306,2.2194605806814e-30
"PPAP2B",7.25244793239203e-35,-2.60766552363502,0.131,0.443,2.35233148687135e-30
"PSMB9",8.48686053214539e-35,2.52902099521511,0.466,0.157,2.75271321360136e-30
"ANTXR1",8.62644613286296e-35,-2.33557389999426,0.159,0.472,2.7979878031941e-30
"CYP1B1",9.69103411949455e-35,-4.0211015548902,0.028,0.293,3.14328691665806e-30
"GTF2I",1.00701740571453e-34,-1.31313890485349,0.441,0.737,3.26626095543508e-30
"FKBP14",1.03559967646916e-34,-2.3912974604556,0.119,0.424,3.3589675506277e-30
"C1orf21",1.20413690889977e-34,-1.78137396113677,0.207,0.528,3.9056180640164e-30
"MT-ND5",1.46513114891397e-34,-1.32507628812328,0.455,0.704,4.75215288150247e-30
"SCARF2",1.73203285450673e-34,-2.64449736876413,0.103,0.405,5.61784856359256e-30
"KLF2",2.05043538644407e-34,2.49856620680267,0.534,0.239,6.65058717593134e-30
"CKAP4",2.0558839763251e-34,-2.00927355690329,0.154,0.466,6.66825967721047e-30
"LIMA1",2.58420752956321e-34,-1.55722529495913,0.294,0.6,8.38187712213827e-30
