"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TMED4",1.99525832015296e-10,-0.704199684975299,0.385,0.561,6.47162036141612e-06
"MLLT6",2.05242150278071e-10,-0.950099296862279,0.208,0.375,6.65702914426924e-06
"BOD1L1",2.10051940770796e-10,-0.513058220701608,0.462,0.638,6.81303469890077e-06
"DUSP6",2.14758871026392e-10,1.23291084472444,0.448,0.313,6.96570398174103e-06
"GSTP1",2.18462544402315e-10,0.682391719222741,0.75,0.69,7.08583262768909e-06
"ZNF280D",2.23782489391987e-10,-0.656974368985306,0.378,0.546,7.25838504342911e-06
"ITGB1",2.25219515790068e-10,-0.246174745983784,0.608,0.817,7.30499499465086e-06
"KNOP1",2.25336377519738e-10,-1.16699303622679,0.135,0.28,7.30878540485271e-06
"TCF3",2.26649986902735e-10,-1.17628016190152,0.173,0.32,7.3513923251902e-06
"SNX29P2",2.29425982469022e-10,1.51785605439791,0.345,0.203,7.44143174138274e-06
"TBRG1",2.36645654595946e-10,1.61157874585326,0.292,0.156,7.67560180681952e-06
"CSNK1G2",2.37782395195437e-10,-0.859292238332956,0.257,0.425,7.71247198816399e-06
"GNL3",2.42143533682135e-10,-0.499152869750395,0.287,0.452,7.85392551498005e-06
"SND1",2.51799347211091e-10,-0.782202274099539,0.394,0.545,8.16711182679174e-06
"BBX",2.59813960585181e-10,-0.709490377702821,0.375,0.542,8.42706581158034e-06
"NAP1L1",2.64329553225727e-10,-0.620858075811926,0.557,0.726,8.57352905887645e-06
"AAED1",2.68695450193209e-10,1.36212463497178,0.27,0.128,8.71513692701673e-06
"BLVRB",2.68933649263763e-10,1.35780010453657,0.461,0.332,8.72286291387017e-06
"FOXN2",2.76302468054028e-10,1.52329368953987,0.326,0.187,8.96187055133238e-06
"ASPSCR1",2.76954733613313e-10,-1.29956226646843,0.151,0.299,8.98302678474782e-06
"POLR2M",2.80662926915115e-10,-1.38205768745954,0.116,0.254,9.10330203449176e-06
"CSNK2B",2.8232439740644e-10,-1.00841512045341,0.208,0.361,9.15719182987788e-06
"POM121C",2.82924290139917e-10,-1.10294396468929,0.135,0.28,9.17664935068821e-06
"NOB1",2.85869292069673e-10,-1.2494372478542,0.149,0.294,9.27217048827986e-06
"PRADC1",2.89229078139926e-10,-1.18883541019799,0.116,0.255,9.38114514946849e-06
"ACP1",2.93406107119829e-10,-0.771092075120224,0.363,0.517,9.51662708443166e-06
"ANKRD37",3.02895683575839e-10,1.81643796100951,0.277,0.14,9.82442149678235e-06
"SPATS2",3.07012197779786e-10,-0.559237648921727,0.219,0.376,9.95794063498737e-06
"LARP1",3.11607210566339e-10,-0.909362144745397,0.28,0.444,1.01069798747192e-05
"COIL",3.2154614838151e-10,-1.12682024226111,0.172,0.318,1.04293493227543e-05
"SSR4",3.26183780432194e-10,0.692326114595105,0.673,0.762,1.05797709183182e-05
"VPS25",3.32767413487045e-10,-0.934581291128399,0.278,0.435,1.07933110564523e-05
"PRKRIP1",3.72238862952029e-10,-1.08240836468115,0.254,0.409,1.20735675198491e-05
"POLR2I",3.73031320897887e-10,-0.74547528277087,0.252,0.42,1.2099270893323e-05
"SRPX",3.88152998821232e-10,-1.89222492141405,0.116,0.252,1.25897425167667e-05
"SLC12A2",3.97341493468355e-10,-0.941772861892987,0.18,0.335,1.28877713406461e-05
"ACTA2",4.04742893316453e-10,-0.91815891832302,0.156,0.312,1.31278357447191e-05
"GOLGA8A",4.15387360902089e-10,-0.978419024150724,0.226,0.38,1.34730890508592e-05
"ANKRD11",4.18202441500539e-10,-0.752120251050219,0.541,0.647,1.356439619007e-05
"NID2",4.18561363379353e-10,-1.1472010286436,0.119,0.26,1.35760378212093e-05
"RPL24P4",4.33520064211719e-10,1.38488310174745,0.317,0.169,1.40612232827071e-05
"CLK1",4.34153566829295e-10,1.35898599841903,0.567,0.431,1.40817709401082e-05
"LENG8",4.46891852629085e-10,-0.890612170601461,0.364,0.515,1.44949372400244e-05
"CDK2AP2",4.77374300824902e-10,1.33773213173083,0.273,0.137,1.54836354472557e-05
"HMGN1",4.79571467794959e-10,-0.484239579190809,0.655,0.78,1.55549005579295e-05
"C14orf2",4.8642669810721e-10,-0.424932916722867,0.49,0.647,1.57772499531074e-05
"MBD2",4.8992142903973e-10,1.08708325336794,0.422,0.279,1.58906015509036e-05
"YES1",5.19427974555968e-10,-0.759138374719086,0.189,0.353,1.68476463547228e-05
"RPL36AL",5.27354695298739e-10,0.741271614742498,0.806,0.737,1.71047495420146e-05
"UPF3A",5.35906688432608e-10,-0.777930392501889,0.264,0.424,1.73821334393117e-05
"KPNB1",5.4037987119662e-10,-0.631812246379284,0.391,0.55,1.75272211222624e-05
"GAREM",5.65471483971504e-10,-1.19026508729031,0.187,0.339,1.83410675826157e-05
"PLEKHH3",5.70736558957321e-10,-1.38284696927605,0.124,0.257,1.85118402897807e-05
"SEC24D",5.73589355315082e-10,-0.934123157806165,0.264,0.419,1.86043707396447e-05
"RP11-889L3.1",5.79708274821118e-10,0.85126050365056,0.398,0.227,1.8802837893823e-05
"RPS25",5.82583325009144e-10,0.814875992932207,0.865,0.836,1.88960901466716e-05
"U2AF1",5.9595172575385e-10,-0.549004365274322,0.587,0.713,1.93296942248261e-05
"PLEKHA7",5.99707897808892e-10,1.28685355227301,0.336,0.186,1.94515256654314e-05
"TUBA1C",6.01215344630836e-10,1.27875826525068,0.363,0.228,1.95004197031012e-05
"CAT",6.02711890044982e-10,1.30504714373203,0.296,0.156,1.9548960153609e-05
"H6PD",6.0648252640648e-10,-1.19781602176605,0.147,0.294,1.96712607439942e-05
"TALDO1",6.10691369767872e-10,0.956203087884046,0.532,0.411,1.98077745784209e-05
"TMEM107",6.54237823831496e-10,1.64524073081679,0.268,0.132,2.12202038159746e-05
"LDHA",6.63991015239712e-10,0.711928895140885,0.744,0.669,2.15365485793001e-05
"EGFLAM",6.81823880813801e-10,-0.780225697169476,0.149,0.304,2.21149575741956e-05
"TSPAN4",7.04060677151687e-10,-0.898747026496527,0.317,0.488,2.2836208063415e-05
"DAAM1",7.2264927087138e-10,-0.959069686035574,0.282,0.435,2.34391291007132e-05
"GRB2",7.55677221341124e-10,0.938586781216507,0.511,0.378,2.45103906741994e-05
"LRPPRC",7.59830503617323e-10,-0.868126586307975,0.296,0.447,2.46451023848279e-05
"ANAPC5",7.67905527814116e-10,-0.877687693619882,0.317,0.472,2.49070157946509e-05
