"gene","p_value","avg_log2FC","pct.1","pct.2","adj_p_value"
"COL4A2",1.75899420084846e-63,0.686509537877788,0.773823191733639,0.425010561892691,7.73957448373323e-62
"COL12A1",5.71261201753497e-63,0.832386953350135,0.653272101033295,0.339036755386565,1.25677464385769e-61
"COL11A1",3.40390196417318e-60,0.983832693219799,0.444316877152698,0.182509505703422,4.992389547454e-59
"COL8A1",1.96348655052411e-59,0.746352856456148,0.484500574052813,0.208069286016054,2.15983520557652e-58
"COL18A1",1.18555033206543e-57,0.654494788134917,0.621125143513203,0.301225179552176,1.04328429221758e-56
"COL5A2",8.31437706811622e-55,0.687305186441418,0.747416762342135,0.427545416138572,6.09720984995189e-54
"COL4A1",3.94973212878501e-54,0.64849933844533,0.739380022962112,0.409590198563583,2.48268876666487e-53
"COL6A2",1.77044284440018e-49,0.614114952153543,0.854190585533869,0.555766793409379,9.14269920948294e-49
"COL5A1",1.87009756557606e-49,0.633742456868297,0.668197474167623,0.362695395014787,9.14269920948294e-49
"COL6A1",8.64052780065341e-48,0.572549367793195,0.824339839265212,0.511618081960287,3.8018322322875e-47
"COL14A1",3.30775699314645e-42,0.733793926869519,0.463834672789897,0.222222222222222,1.32310279725858e-41
"COL9A3",5.83207644657366e-41,0.622212303079794,0.424799081515499,0.200464723278411,2.13842803041034e-40
"COL6A3",1.07468855592578e-40,0.723788386794974,0.626865671641791,0.361850443599493,3.63740742005648e-40
"COL16A1",1.54642317297193e-38,0.377802651533536,0.52353616532721,0.262991128010139,4.86018711505465e-38
"COL3A1",3.17106041986771e-36,0.781300796885747,0.768082663605052,0.554288128432615,9.30177723161195e-36
"COL19A1",3.88671706930711e-36,0.283811237563375,0.182548794489093,0.055766793409379,1.06884719405946e-35
"COL7A1",4.01377314052529e-35,0.762745474518502,0.204362801377727,0.0690747782002535,1.0388589304889e-34
"COL1A2",3.36048772407772e-34,0.506535482686423,0.86796785304248,0.603295310519645,8.21452554774553e-34
"COL9A2",4.45830761643637e-34,0.413181704293231,0.197474167623421,0.0665399239543726,1.03245018485895e-33
"COL4A5",2.18346072964095e-33,0.695149287648818,0.235361653272101,0.0899873257287706,4.80361360521009e-33
"COL27A1",5.96758925162121e-33,0.547529137913663,0.269804822043628,0.110266159695817,1.25035203367301e-32
"COL13A1",2.53885512117691e-30,0.567450079091588,0.252583237657865,0.105618926911703,5.07771024235383e-30
"COL26A1",2.94039983668842e-29,0.704353833172048,0.0964408725602755,0.0217574989438107,5.62511273105612e-29
"COL25A1",7.64507938052785e-29,1.16800054477141,0.183696900114811,0.0682298267849599,1.40159788643011e-28
"COL15A1",4.49058820659431e-27,0.662346456316906,0.337543053960964,0.168356569497254,7.90343524360598e-27
"COL1A1",1.46073915431942e-23,0.469364652551708,0.797933409873708,0.596535699197296,2.47202010730978e-23
"COL4A6",1.03759497896642e-18,0.410313873138321,0.0803673938002296,0.0228136882129278,1.69089552127861e-18
"COL5A3",4.50080514080555e-15,0.122839543822067,0.1699196326062,0.0806928601605408,7.07269379269443e-15
"COL22A1",1.39529639686316e-13,0.344119038738091,0.0723306544202067,0.0240811153358682,2.11700142972341e-13
"COL24A1",6.01653071277753e-12,0.216986028238876,0.158438576349024,0.0804816223067174,8.82424504540705e-12
"COL8A2",2.0312390502412e-10,0.16806982192216,0.141216991963261,0.0728770595690748,2.8830489745359e-10
"COL23A1",1.19545748908159e-09,0.274030247435775,0.0723306544202067,0.0297845373891001,1.64375404748719e-09
"COL10A1",2.12163592702328e-07,0.295743307040217,0.0470723306544202,0.0183776932826362,2.82884790269771e-07
"COL9A1",2.23414369599687e-06,0.06128756133801,0.110218140068886,0.0631601182931981,2.89124478305478e-06
"COL4A3",1.10314368441345e-05,-0.0965727669446603,0.0275545350172216,0.00950570342205323,1.38680920326263e-05
"COL4A4",1.44093034102071e-05,0.167275387186441,0.0482204362801378,0.0223912125052809,1.76113708346976e-05
"COL21A1",9.79087512350835e-05,0.126547885577747,0.192881745120551,0.135614702154626,0.000116432028495775
"COL6A6",0.000214956366195777,0.0474304386647709,0.0275545350172216,0.0114068441064639,0.000248896845068794
"COL28A1",0.00209168428038556,-0.0491826033309129,0.052812858783008,0.0314744402196874,0.00235984893171704
"COL2A1",0.00337928618505747,0.000659727110218536,0.0597014925373134,0.0373891001267427,0.00371721480356321
"COL11A2",0.0120982033746232,-0.202959146501407,0.0551090700344432,0.0361216730038023,0.0129834377678883
"COL6A5",0.0145281889345421,0.01109267859794,0.00229621125143513,0.000211237853823405,0.0152200074552346
"COL20A1",0.0291927878537136,-0.0409658302480112,0.0103329506314581,0.00443599493029151,0.0298716898968232
"COL17A1",0.0348375572024761,0.0196900405842834,0.00803673938002296,0.00316856780735108,0.0348375572024761
