"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0,5.65478270205576,1,0.204,0,"COL6A2"
0,3.82307518477769,0.907,0.213,0,"COL6A1"
0,4.34575425835773,0.787,0.102,0,"PCOLCE"
0,4.52286690106865,0.736,0.07,0,"COL6A3"
0,2.76664300011828,0.901,0.245,0,"CALD1"
0,2.85538710737572,0.802,0.152,0,"COL5A2"
0,4.24015808554898,0.788,0.141,0,"DCN"
0,4.03041693596033,0.738,0.094,0,"ISLR"
0,3.13709462155729,0.814,0.179,0,"MEG3"
0,4.49955122080121,0.9,0.275,0,"COL3A1"
0,2.85049148455058,0.779,0.156,0,"FSTL1"
0,3.65500683487444,0.724,0.103,0,"EMILIN1"
0,2.99138939534897,0.728,0.126,0,"MXRA8"
0,3.77391658926335,0.692,0.091,0,"FGFR1"
0,4.57205359385742,0.661,0.061,0,"OGN"
0,3.29501656437551,0.726,0.126,0,"FKBP10"
0,3.99999715232919,0.734,0.136,0,"LUM"
0,1.91357495281623,0.817,0.22,0,"CNN3"
0,2.80960046297373,0.776,0.182,0,"LAMB1"
0,3.01627371404384,0.705,0.115,0,"COL5A1"
0,4.39077593454107,0.936,0.353,0,"COL1A2"
0,4.6161425842093,0.918,0.338,0,"COL1A1"
0,1.70381771631862,0.91,0.336,0,"SPARC"
0,2.95275821660043,0.699,0.128,0,"CFH"
0,3.64059774510707,0.677,0.108,0,"TSHZ2"
0,2.99003303681606,0.684,0.121,0,"FBN1"
0,2.84681235492207,0.702,0.141,0,"AEBP1"
0,3.46630562495483,0.615,0.061,0,"CPE"
0,1.76087800457367,0.756,0.202,0,"COL4A2"
0,4.00103498676762,0.585,0.035,0,"CDH11"
0,2.80344007333007,0.671,0.122,0,"LAMA2"
0,4.62250556044447,0.62,0.073,0,"THBS4"
0,1.91747757320195,0.734,0.187,0,"COL4A1"
0,3.52859030519578,0.614,0.067,0,"MRC2"
0,3.41650213587475,0.627,0.082,0,"BGN"
0,1.73350329772927,0.693,0.149,0,"IGFBP5"
0,2.96531128660083,0.644,0.102,0,"FAT1"
0,3.61210111455783,0.676,0.135,0,"MMP2"
0,2.30066716405529,0.793,0.256,0,"FN1"
0,1.63731493613114,0.786,0.251,0,"NGFRAP1"
0,3.48584778775124,0.586,0.051,0,"MEST"
0,2.27443072708794,0.689,0.154,0,"NFIB"
0,2.77520587936809,0.619,0.087,0,"DDR2"
0,2.38342487327695,0.687,0.156,0,"CDC42EP5"
0,2.78699593341989,0.667,0.138,0,"LHFP"
0,-3.72787847447101,0.191,0.72,0,"SRGN"
0,2.95899570287145,0.624,0.109,0,"RP11-14N7.2"
0,2.09778976148946,0.645,0.131,0,"COL12A1"
0,4.26872248375237,0.539,0.026,0,"FMOD"
0,-3.7518214760945,0.057,0.568,0,"PTPRC"
0,2.87695251349701,0.84,0.331,0,"MGP"
0,4.15163286900433,0.556,0.05,0,"PRRX1"
0,2.20855464045734,0.685,0.18,0,"UACA"
0,3.96324951889067,0.541,0.036,0,"MEOX2"
0,3.8702721250218,0.544,0.048,0,"CYGB"
0,3.80318289365328,0.601,0.107,0,"C1S"
0,4.32057154833837,0.578,0.085,0,"FBLN1"
0,3.59541455107708,0.587,0.098,0,"IGF2"
0,4.34732542115357,0.516,0.03,0,"BICC1"
0,2.74194068609396,0.582,0.097,0,"TFPI"
0,2.62989404950757,0.594,0.109,0,"NFIX"
0,3.85668102146714,0.561,0.077,0,"CCDC80"
0,3.7232539476574,0.516,0.034,0,"EGFR"
0,3.17625343972712,0.544,0.063,0,"COL16A1"
0,4.19473730761804,0.517,0.036,0,"GPC3"
0,2.82825026448276,0.543,0.062,0,"TMEM98"
0,-4.01614433766963,0.06,0.541,0,"HCST"
0,3.8237729422492,0.514,0.035,0,"CPXM1"
0,3.46907569174904,0.575,0.097,0,"POSTN"
0,-3.53915297730062,0.072,0.549,0,"LAPTM5"
0,2.54977944112409,0.769,0.292,0,"IGFBP4"
0,2.80882564942814,0.559,0.086,0,"OLFML3"
0,2.64579642155396,0.571,0.098,0,"GPX8"
0,4.09733205314828,0.508,0.035,0,"MFAP4"
0,3.98518755888402,0.514,0.044,0,"PDGFRB"
0,1.7341696394197,0.865,0.399,0,"IGFBP7"
0,4.78393404575217,0.494,0.029,0,"BOC"
0,-3.96550393186125,0.082,0.543,0,"VAMP8"
0,3.70797943220556,0.712,0.259,0,"APOD"
0,3.24532801740993,0.494,0.042,0,"CRABP2"
0,3.77194548534097,0.476,0.024,0,"SLIT3"
0,4.80087030107451,0.479,0.041,0,"NPW"
0,1.87320365481279,0.834,0.414,0,"TTC3"
0,-3.49650399402482,0.351,0.764,0,"CD74"
0,-2.79714074626888,0.559,0.828,0,"CYBA"
0,-2.15898915472558,0.633,0.858,0,"HLA-E"
0,-2.33897362986091,0.673,0.895,0,"HLA-C"
0,-2.20854133672022,0.709,0.897,0,"HLA-B"
0,-1.99348520652952,0.929,0.972,0,"B2M"
3.09670595461128e-307,3.77538515073563,0.596,0.129,1.00441657637817e-302,"C1R"
9.66804107487517e-306,2.74475798944038,0.557,0.09,3.13582912263576e-301,"NDN"
2.19185817039347e-304,3.39472537621652,0.529,0.072,7.10929197567121e-300,"ZFHX4"
4.63820965939357e-299,-3.22231351980011,0.094,0.544,1.5044033030243e-294,"GMFG"
2.47875702192966e-298,4.66640023859843,0.489,0.057,8.03984840062885e-294,"DLK1"
1.47846077192799e-295,1.57099928398304,0.712,0.192,4.79538751374844e-291,"PTRF"
5.13185228956126e-293,3.82865391179652,0.456,0.034,1.66451629011919e-288,"GLT8D2"
7.86875074231599e-293,2.02042418174436,0.665,0.159,2.55222930327019e-288,"NR2F2"
3.97799247062758e-291,1.84517560667898,0.618,0.138,1.29026185784806e-286,"TPM2"
1.25062711628051e-290,-3.48869300334102,0.049,0.477,4.05640905165584e-286,"CD37"
5.05410519403796e-289,-4.49741509282447,0.043,0.462,1.63929901968621e-284,"RGS1"
2.15806443135247e-283,-3.80684147739615,0.036,0.45,6.99968198309173e-279,"CD53"
3.59602779720853e-280,2.91368349958758,0.599,0.145,1.16637161602459e-275,"PTN"
7.87363083463741e-279,2.19982561279234,0.644,0.18,2.55381216121464e-274,"MDK"
4.02930158288705e-278,2.04215059340567,0.682,0.213,1.30690396840942e-273,"NFIA"
4.92745621687582e-278,3.72944591186117,0.429,0.026,1.59822042394367e-273,"PLEKHH2"
1.10902247710956e-274,3.46442383162382,0.455,0.045,3.59711440450484e-270,"EBF1"
9.88775596568013e-274,-3.5204824669475,0.136,0.547,3.20709364746835e-269,"CTSS"
2.90219095718354e-272,2.01277642473848,0.638,0.178,9.4132563696248e-268,"LIMA1"
9.67873571460608e-272,1.63724355415345,0.748,0.289,3.13929792903248e-267,"CALU"
7.34227436727198e-271,-2.6917063602801,0.153,0.583,2.38146669102467e-266,"ARHGDIB"
7.54146657991645e-271,3.29920798353996,0.454,0.044,2.4460746851959e-266,"ELN"
5.94665284399961e-268,1.67369799978256,0.645,0.162,1.92879684995127e-263,"AKAP12"
4.21772844966546e-266,-3.49109837151998,0.273,0.647,1.36802022264899e-261,"HLA-DPA1"
1.72217713705884e-265,2.1771930323603,0.628,0.174,5.58588154405035e-261,"HTRA1"
3.36611732233998e-261,3.47738006590752,0.597,0.171,1.09180015350097e-256,"SERPINF1"
6.20061933479049e-261,-4.28041419017393,0.08,0.474,2.0111708812393e-256,"TYROBP"
6.09095195117338e-260,3.09761297086137,0.504,0.088,1.97560026536309e-255,"PPIC"
7.40170008912486e-260,2.06244985106896,0.611,0.166,2.40074142390765e-255,"SERPINH1"
1.33312763803862e-258,-3.84922282004953,0.045,0.434,4.32399949397826e-254,"CORO1A"
1.75350948686066e-258,3.26836021708241,0.482,0.076,5.68750802063255e-254,"LOXL2"
3.1813508796427e-258,-1.7177366988064,0.946,0.951,1.03187115781211e-253,"TMSB4X"
3.58246536653565e-258,2.6388796696315,0.498,0.083,1.16197264163584e-253,"PXDN"
4.74048797487916e-258,1.66105389525292,0.789,0.362,1.53757727465205e-253,"LRP1"
2.11650548656071e-257,2.43849716073356,0.565,0.137,6.86488554565966e-253,"CLEC11A"
1.57436497751992e-256,2.71221708740725,0.481,0.071,5.10645280458587e-252,"SMARCA1"
3.46150886651562e-255,-3.86960973014225,0.036,0.419,1.12274040085434e-250,"LCP1"
1.73090617656593e-254,3.35695902877318,0.452,0.057,5.61419418369158e-250,"RUNX1T1"
8.61540319583467e-253,-3.54749795842505,0.054,0.44,2.79440602656897e-248,"ITGB2"
9.58375095726722e-252,4.05862168955108,0.398,0.025,3.10848962298962e-247,"ABI3BP"
1.17093856584669e-251,2.09049742761915,0.64,0.212,3.79793923832375e-247,"SEPT11"
7.9399048811529e-251,1.496945558732,0.614,0.144,2.57530814820194e-246,"RARRES2"
8.31387519043024e-251,3.97411990484759,0.386,0.019,2.69660541801605e-246,"EBF2"
7.93752338347716e-250,1.71338386501523,0.638,0.174,2.57453570943082e-245,"MFGE8"
2.37920684784516e-249,4.84317222548365,0.368,0.012,7.71695741098577e-245,"MXRA5"
5.39519774434877e-249,1.80522993397711,0.672,0.224,1.74993238837952e-244,"TPM1"
2.71960180592464e-247,1.32493829808968,0.859,0.562,8.82102845751656e-243,"LAPTM4A"
1.50285306126617e-246,2.08836229236733,0.591,0.166,4.87450390421683e-242,"PALLD"
3.36779271047795e-246,2.37783032743991,0.608,0.167,1.09234356564352e-241,"ITM2A"
3.46288217904883e-246,-3.54317997390227,0.346,0.665,1.12318583477449e-241,"HLA-DRB1"
9.74709409505225e-246,1.39982418215677,0.755,0.303,3.1614699697302e-241,"APP"
5.09347305953533e-245,2.09013311722823,0.542,0.106,1.65206798686029e-240,"SGCE"
2.14813999822114e-244,2.1698827200389,0.564,0.132,6.96749208423027e-240,"NID1"
9.09858549098249e-244,2.09491216808495,0.565,0.137,2.95112620400017e-239,"RBFOX2"
3.6435482100662e-243,2.99722623977432,0.455,0.066,1.18178486193497e-238,"ANTXR1"
3.78879532805019e-243,3.90594611477718,0.382,0.022,1.22889576465308e-238,"MFAP2"
1.29830111897e-242,1.78412109144349,0.636,0.189,4.21103967937918e-238,"S100A13"
2.7019626421156e-240,2.51670278119851,0.524,0.11,8.76381582970197e-236,"COLEC12"
2.71745016612522e-240,1.30764086027476,0.839,0.463,8.81404961382714e-236,"PTMS"
3.50626888772644e-240,2.54777449819654,0.488,0.084,1.13725831373407e-235,"SSPN"
5.04204658778174e-238,1.59953338464469,0.628,0.168,1.63538781074701e-233,"LAMC1"
6.98455267082595e-238,-3.85515040008019,0.071,0.447,2.2654396587824e-233,"HLA-DQB1"
1.29493371003347e-237,-3.91780427586887,0.066,0.435,4.20011748849357e-233,"FCER1G"
1.27092469170923e-236,4.55692277959442,0.374,0.024,4.12224423755888e-232,"TNC"
1.74173588105367e-236,2.43607119965978,0.53,0.127,5.64932033019757e-232,"COPZ2"
1.85266463383277e-234,-4.23111416834171,0.057,0.42,6.00911773983658e-230,"AIF1"
2.50066665610225e-234,3.25477084854037,0.383,0.027,8.11091229906764e-230,"TWIST1"
3.99367861716342e-234,4.49958592069855,0.366,0.021,1.29534965947696e-229,"ASPN"
4.47654758278881e-234,3.39582146209222,0.432,0.057,1.45196820847755e-229,"THY1"
1.15616015516992e-232,2.45277451933721,0.507,0.111,3.75000546329362e-228,"EFEMP2"
1.46203186912652e-232,1.85549533982288,0.597,0.173,4.74210036751188e-228,"VCAN"
5.11376453526294e-231,-4.31432910802231,0.042,0.394,1.65864952701254e-226,"MS4A6A"
1.65837841227542e-230,-1.38954319074291,0.758,0.877,5.37895038021533e-226,"HLA-A"
3.99232454596005e-230,3.71555940455421,0.404,0.044,1.29491046648214e-225,"CTSK"
1.58427159227913e-229,2.51482631520865,0.554,0.146,5.13858490955735e-225,"CTHRC1"
2.74073127816527e-229,2.21360865938272,0.595,0.18,8.88956190072905e-225,"IGFBP2"
2.12040896298139e-227,2.32314462712248,0.493,0.099,6.87754647143013e-223,"PPAP2B"
8.66083846556977e-226,1.05866839610152,0.681,0.199,2.80914295630756e-221,"DLC1"
2.80611271171441e-225,2.58255033203333,0.458,0.078,9.10162658044569e-221,"BMP1"
9.43603522208164e-225,1.13446400352497,0.923,0.724,3.06057802428218e-220,"TIMP1"
2.30517858340148e-224,1.85702529275086,0.528,0.115,7.47684673526269e-220,"SOD3"
1.01738930484027e-223,2.15401169019994,0.573,0.157,3.29990221024942e-219,"ZEB1"
3.72840077647471e-223,-4.82198063293392,0.076,0.435,1.20930679184957e-218,"LYZ"
8.54502154301775e-223,3.57764589470081,0.37,0.028,2.77157773747781e-218,"PKDCC"
2.80349623945428e-221,2.54492492021096,0.494,0.1,9.09314005266994e-217,"ABCA8"
4.59184540659567e-221,2.14429731661795,0.527,0.134,1.4893650576293e-216,"KDM5B"
7.31837092484278e-221,4.39545162192905,0.349,0.02,2.37371360947276e-216,"GAS2"
1.42337987619039e-220,2.28443378128092,0.599,0.191,4.61673262842353e-216,"CTGF"
8.70869576812067e-220,3.88386739286908,0.377,0.035,2.82466547238994e-215,"MEIS3"
7.19173359862504e-219,4.93679478397121,0.326,0.009,2.33263879271403e-214,"FNDC1"
7.87756400805923e-219,1.30016782090006,0.65,0.189,2.55508788601401e-214,"LAMA4"
2.80776077017942e-218,2.16644492408503,0.561,0.159,9.10697205807694e-214,"MMP14"
9.0540140863866e-217,2.60488319835202,0.474,0.097,2.93666946891949e-212,"PLAC9"
1.35707458770742e-216,-3.49982954995561,0.32,0.625,4.401671425229e-212,"HLA-DRA"
2.16532769694485e-216,3.89752119687152,0.355,0.025,7.02324038504061e-212,"FIBIN"
3.65589214928579e-216,1.92697307785345,0.557,0.148,1.18578861862085e-211,"SPRY1"
1.51012107674596e-213,-3.47230915694167,0.093,0.443,4.89807771242552e-209,"GPSM3"
5.80137242662465e-213,0.52039222779693,0.67,0.225,1.8816751465757e-208,"NUPR1"
2.30397571899656e-212,-2.18471512450969,0.261,0.612,7.47294524456535e-208,"FXYD5"
2.83898904595919e-212,2.61911648959387,0.437,0.077,9.20826097056863e-208,"FHL2"
3.72665179709229e-212,4.07333620476882,0.323,0.011,1.20873951038688e-207,"SVEP1"
4.08116945190231e-211,2.51820274929517,0.459,0.092,1.32372731172452e-206,"TUSC3"
7.92138632597299e-211,2.39714254664215,0.503,0.123,2.56930165482934e-206,"CD276"
1.10579377188249e-210,3.28328895906331,0.371,0.037,3.58664209910086e-206,"NEO1"
1.58512173082335e-210,1.68581542792553,0.566,0.15,5.14134233392552e-206,"LTBP4"
4.43947595049619e-210,2.43832858056058,0.443,0.079,1.43994402454344e-205,"PTPRG"
1.00090428729776e-209,3.03209518609739,0.39,0.048,3.24643305585029e-205,"SCARF2"
4.75413275050064e-209,2.60151980325848,0.433,0.076,1.54200295762488e-204,"ENAH"
6.15155047197794e-208,3.78230367157118,0.356,0.031,1.99525539558605e-203,"TPBG"
1.28973567001325e-207,0.425779971145035,0.567,0.14,4.18325764568799e-203,"SPARCL1"
2.12466274209187e-207,2.04701612867453,0.494,0.111,6.891343603975e-203,"DPYSL3"
3.63740611425083e-207,1.31241485089048,0.62,0.197,1.17979267315726e-202,"MXRA7"
1.91812982706899e-206,0.852298988014567,0.747,0.273,6.22145409409828e-202,"EMP1"
3.43276539106132e-206,-3.74052915841859,0.094,0.432,1.11341745459074e-201,"HLA-DMA"
1.88913111087178e-205,2.56439802160647,0.451,0.089,6.12739675811261e-201,"PBX1"
2.0094577943861e-205,3.49030544468901,0.358,0.034,6.5176763560913e-201,"MDFI"
2.11032436384131e-205,1.20330451018979,0.823,0.477,6.8448370741193e-201,"EID1"
4.20236737704461e-205,4.9121183106975,0.313,0.011,1.36303785874442e-200,"PDGFRA"
