"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
4.60986143584134e-305,3.26001651686194,0.502,0.067,1.49520855671514e-300,"RUNX1T1"
3.34072377426928e-302,-4.62399272914327,0.049,0.509,1.08356375618424e-297,"LAPTM5"
3.36944648188939e-302,2.17984250923628,0.675,0.193,1.09287996640082e-297,"HTRA1"
3.23746333251166e-297,3.65621719177471,0.43,0.029,1.05007123190016e-292,"MFAP2"
4.64867142350741e-297,3.15375989891153,0.526,0.092,1.50779657621463e-292,"LOXL2"
2.46766327227329e-294,2.01206503846595,0.657,0.179,8.00386582361841e-290,"VCAN"
1.46422901772375e-293,4.54821745903893,0.415,0.026,4.74922681898697e-289,"ASPN"
1.34388539672029e-292,3.07585308803927,0.546,0.106,4.35889228426225e-288,"PPIC"
7.786048091196e-292,-4.81282930224393,0.046,0.494,2.52540469837942e-287,"HCST"
1.00047032044479e-291,-4.5624519643845,0.065,0.512,3.24502548436267e-287,"GMFG"
2.12629351223363e-290,2.24400838089954,0.64,0.181,6.89663300692978e-286,"PALLD"
2.20097091106659e-290,3.52068316024555,0.429,0.031,7.13884915004448e-286,"EBF2"
9.35987133589373e-290,1.96989981390264,0.676,0.205,3.03587426779713e-285,"LIMA1"
1.44726500198942e-286,2.52067209834362,0.54,0.101,4.69420403395267e-282,"PXDN"
6.28346452149196e-284,1.90269706736767,0.716,0.245,2.03804171754592e-279,"NFIA"
7.2222267134129e-284,5.17681078509986,0.375,0.011,2.34252923449548e-279,"FNDC1"
2.23536353728134e-283,4.37400834510187,0.398,0.022,7.25040163317203e-279,"GAS2"
8.80803536532413e-283,3.19468107037209,0.429,0.035,2.85688627074288e-278,"TWIST1"
2.91743774397453e-282,4.25720292375079,0.418,0.033,9.4627093225814e-278,"TNC"
8.21060606056794e-278,3.31183711927742,0.479,0.067,2.66311007574521e-273,"THY1"
1.31725206885975e-274,1.89943982294372,0.676,0.212,4.27250708534659e-270,"MDK"
8.8326148417388e-274,-4.54868114104074,0.07,0.496,2.86485862391798e-269,"VAMP8"
8.54866410186278e-272,-1.9198837405352,0.948,0.95,2.77275920143919e-267,"TMSB4X"
4.85317374581895e-271,4.35415558898285,0.37,0.014,1.57412690445638e-266,"SVEP1"
5.57258786489334e-271,1.95278799254696,0.646,0.193,1.80746887397816e-266,"SERPINH1"
1.77927993113691e-270,2.40104766313409,0.531,0.1,5.77109445664257e-266,"SSPN"
5.93475332446816e-270,3.468971135675,0.446,0.055,1.92493724079125e-265,"CTSK"
1.72744877718587e-269,3.16719317039952,0.416,0.035,5.60298010880236e-265,"PKDCC"
3.31168141438448e-268,3.94634876966543,0.401,0.03,1.07414386675561e-263,"FIBIN"
1.28819268393707e-267,1.26257754840019,0.811,0.297,4.17825297034989e-263,"NGFRAP1"
1.32753425943804e-267,2.4154193855933,0.569,0.146,4.30585737048728e-263,"COPZ2"
2.62306157007167e-265,2.55158161089326,0.599,0.161,8.50790020252746e-261,"CTHRC1"
2.33017144327281e-264,2.50346176532085,0.596,0.153,7.55791107625537e-260,"OLFML2B"
2.73261850061644e-264,2.3834806322071,0.514,0.096,8.86324810674943e-260,"SMARCA1"
6.68131555239015e-263,-4.09599054281451,0.24,0.627,2.16708469941775e-258,"HLA-DPA1"
3.99566195814495e-262,2.71404285769025,0.492,0.085,1.29599295612431e-257,"ANTXR1"
4.74310829594865e-262,2.51002968077236,0.623,0.182,1.53842717579095e-257,"PTN"
5.92249530430294e-262,4.39560322056743,0.361,0.014,1.92096135195066e-257,"LRRC17"
5.50511259754259e-261,1.72909503328197,0.709,0.251,1.78558327101294e-256,"TPM1"
6.21294725262416e-261,4.66139043924739,0.358,0.014,2.01516944138865e-256,"PDGFRA"
1.11943853280683e-260,1.44232454812509,0.777,0.323,3.63089888115897e-256,"CALU"
2.02262019394304e-259,1.27035887812747,0.887,0.577,6.56036859905424e-255,"LAPTM4A"
1.43463100793992e-257,1.28266711841601,0.737,0.236,4.65322567425314e-253,"PTRF"
1.47138885169875e-257,2.20332125214739,0.609,0.172,4.77244974048489e-253,"MMP14"
1.97754892628963e-257,-1.62209998299152,0.747,0.871,6.41417994242041e-253,"HLA-A"
1.10470743490805e-254,2.78910175082272,0.496,0.096,3.58311856512428e-250,"BMP1"
1.11142093597424e-254,3.32369760926186,0.417,0.046,3.60489380583245e-250,"MEIS3"
1.19259274099366e-254,3.73953535270412,0.356,0.015,3.86817455541294e-250,"PTGIS"
2.18980223657034e-254,3.10070041957729,0.414,0.044,7.10262355431591e-250,"NEO1"
7.08088607740296e-254,4.15902857263558,0.359,0.018,2.29668539920565e-249,"EDNRA"
1.95094832923616e-253,2.54388007701801,0.489,0.088,6.32790090587747e-249,"PTPRG"
6.58002482337349e-253,2.32939320133913,0.533,0.116,2.13423105146119e-248,"PPAP2B"
6.19622934658693e-252,3.43946342769105,0.4,0.038,2.00974698856547e-247,"TPBG"
3.78972357838899e-251,-4.50166013249537,0.035,0.435,1.22919684265047e-246,"CD37"
4.2226900804839e-251,-4.10286875289397,0.311,0.653,1.36962952760495e-246,"HLA-DRB1"
5.26120364211729e-251,2.83306640129453,0.429,0.052,1.70647140132074e-246,"SETBP1"
1.98858069096522e-248,2.18197989266601,0.613,0.177,6.44996147114568e-244,"ZEB1"
2.57441025783959e-248,1.93433913147823,0.596,0.165,8.35009967130271e-244,"RBFOX2"
4.33016429700721e-248,3.34605366270934,0.361,0.02,1.40448878973429e-243,"CD248"
2.02511483583614e-246,2.047456538472,0.568,0.151,6.56845997003453e-242,"KDM5B"
8.39498262320644e-246,-3.06692853497399,0.134,0.545,2.72291261383701e-241,"ARHGDIB"
3.646457262283e-245,2.5355849255347,0.475,0.087,1.18272841302149e-240,"ENAH"
9.44820369624363e-243,4.69779451906724,0.328,0.009,3.06452486887662e-238,"PCDH18"
1.04170651534235e-242,2.06427280316592,0.594,0.162,3.3787750825129e-238,"NID1"
4.46378987428882e-242,0.548609486916321,0.719,0.242,1.44783024572558e-237,"NUPR1"
1.68290491068233e-241,3.61451037736137,0.403,0.046,5.45850207779814e-237,"ABCA10"
4.6939413782297e-241,-2.77558490297408,0.219,0.601,1.5224798860288e-236,"FXYD5"
7.73128901606008e-241,-5.15521538875598,0.026,0.408,2.50764359235909e-236,"CD53"
8.69037829638664e-241,2.3525481481393,0.517,0.12,2.81872420043301e-236,"RCN3"
2.37213961801942e-240,3.31032574681556,0.396,0.044,7.69403485104597e-236,"MDFI"
6.94659186462554e-239,-5.39208365301077,0.034,0.417,2.25312707129129e-234,"RGS1"
1.45199336953757e-238,1.3086077430388,0.667,0.204,4.7095404940951e-234,"AKAP12"
2.11148047358473e-238,3.69181286891036,0.335,0.014,6.84858691607206e-234,"PRRX2"
8.15695890007794e-237,2.26019110466601,0.536,0.138,2.64570961924028e-232,"EFEMP2"
9.45535200125666e-237,2.73625504554704,0.428,0.061,3.0668434216076e-232,"SCARF2"
3.62219266124552e-236,1.19056555462046,0.869,0.486,1.17485818967499e-231,"PTMS"
5.05307080783273e-235,1.43638191099877,0.669,0.207,1.63896351652055e-230,"MFGE8"
3.67064413619981e-234,3.40507975261405,0.369,0.032,1.19057342557641e-229,"VASN"
1.01714261146073e-233,1.26983321459708,0.784,0.335,3.29910206027288e-229,"APP"
9.44649996686228e-232,2.58684230524606,0.471,0.095,3.06397226425178e-227,"FHL2"
1.29722531151093e-231,2.25723290186788,0.541,0.14,4.20755029788571e-227,"CD276"
2.03752651608052e-231,2.57716164954136,0.43,0.066,6.60871725490716e-227,"COL11A1"
2.3289051347043e-231,1.83200715848918,0.568,0.139,7.55380380441339e-227,"SGCE"
3.36603728217461e-231,1.45529904705976,0.745,0.327,1.09177419247334e-226,"CCND2"
1.22957894198144e-230,-4.22335798297853,0.126,0.504,3.98813929831681e-226,"CTSS"
1.29702344487524e-229,0.280718358448439,0.616,0.154,4.20689554345284e-225,"SPARCL1"
1.66633714260261e-229,1.31859404013764,0.764,0.324,5.40476452203158e-225,"TCF4"
5.98203828213564e-229,1.51584747575649,0.675,0.213,1.9402741168107e-224,"NR2F2"
3.68887199112266e-228,3.70031738408024,0.344,0.023,1.19648563032063e-223,"CRISPLD1"
4.0123194498078e-228,2.9943095854345,0.394,0.048,1.30139581354516e-223,"LTBP1"
9.6126072791218e-228,2.02505680910914,0.545,0.149,3.11784917098315e-223,"RHOBTB3"
2.07506788586504e-227,3.65598478291854,0.344,0.024,6.73048268780325e-223,"SMO"
3.21364165447779e-227,1.56347009271558,0.661,0.225,1.04234467062987e-222,"S100A13"
3.96099650798109e-227,1.73332306971909,0.479,0.087,1.28474921736367e-222,"FXYD1"
