"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0,6.62957110311214,1,0.121,0,"COL6A1"
0,3.06514775110817,0.812,0.143,0,"COL5A2"
0,3.56866042893676,0.736,0.096,0,"ISLR"
0,3.63698628157378,0.764,0.125,0,"PCOLCE"
0,3.99849075715762,0.722,0.085,0,"COL6A3"
0,2.94941880193673,0.815,0.178,0,"MEG3"
0,3.39645521822681,0.919,0.285,0,"COL6A2"
0,2.3972256188024,0.883,0.263,0,"CALD1"
0,2.72646214840437,0.733,0.121,0,"MXRA8"
0,3.23618750250527,0.718,0.11,0,"EMILIN1"
0,3.16450942451446,0.767,0.161,0,"DCN"
0,4.09597376952207,0.887,0.288,0,"COL3A1"
0,2.42618512291598,0.761,0.174,0,"FSTL1"
0,2.64552777154061,0.772,0.186,0,"LAMB1"
0,2.91874750957801,0.718,0.134,0,"FKBP10"
0,2.85104829901432,0.699,0.122,0,"COL5A1"
0,1.67714080639859,0.806,0.23,0,"CNN3"
0,4.04436289607843,0.931,0.358,0,"COL1A2"
0,1.8125666640965,0.908,0.337,0,"SPARC"
0,3.16162132571206,0.674,0.109,0,"FGFR1"
0,3.08605551439512,0.715,0.155,0,"LUM"
0,3.9495067908262,0.641,0.082,0,"OGN"
0,2.7587456824428,0.652,0.094,0,"FAT1"
0,3.2621509736452,0.671,0.113,0,"TSHZ2"
0,2.62126326559553,0.674,0.118,0,"LAMA2"
0,4.22583048965997,0.905,0.351,0,"COL1A1"
0,2.61432524001663,0.696,0.147,0,"AEBP1"
0,1.62903741898551,0.753,0.205,0,"COL4A2"
0,2.26743999339259,0.661,0.115,0,"COL12A1"
0,3.045162750063,0.611,0.066,0,"CPE"
0,1.93139862549574,0.69,0.152,0,"IGFBP5"
0,2.75106889537297,0.67,0.135,0,"FBN1"
0,3.65762766466435,0.577,0.042,0,"CDH11"
0,3.14931165469083,0.607,0.073,0,"MRC2"
0,2.24029217592157,0.678,0.149,0,"CFH"
0,2.10603088032125,0.786,0.263,0,"FN1"
0,2.47302648660637,0.614,0.092,0,"DDR2"
0,3.92785732894926,0.605,0.088,0,"THBS4"
0,1.9929729991499,0.68,0.163,0,"CDC42EP5"
0,2.93529351040448,0.609,0.1,0,"BGN"
0,3.95139005942108,0.557,0.049,0,"PRRX1"
0,2.90220846901624,0.572,0.065,0,"MEST"
0,3.04514690135962,0.657,0.154,0,"MMP2"
0,2.05247263759958,0.654,0.152,0,"LHFP"
0,3.71457901316449,0.533,0.032,0,"FMOD"
0,2.54925706763186,0.596,0.106,0,"NFIX"
0,2.48307785206498,0.61,0.122,0,"RP11-14N7.2"
0,3.20841104998673,0.615,0.129,0,"PTN"
0,-3.42801789323909,0.071,0.554,0,"PTPRC"
0,2.96785320502258,0.595,0.113,0,"C1S"
0,3.32348251507251,0.577,0.095,0,"POSTN"
0,-3.16304986932749,0.215,0.696,0,"SRGN"
0,2.73157546208168,0.825,0.345,0,"MGP"
0,2.97942069529917,0.541,0.066,0,"COL16A1"
0,2.85062867666199,0.558,0.087,0,"OLFML3"
0,3.04836853852901,0.531,0.061,0,"CYGB"
0,3.50071463613976,0.553,0.086,0,"CCDC80"
0,3.16942867876695,0.522,0.055,0,"MEOX2"
0,3.83736590281547,0.505,0.038,0,"MFAP4"
0,3.33845978727373,0.506,0.04,0,"BICC1"
0,3.44686306241529,0.511,0.047,0,"PDGFRB"
0,4.12684325066253,0.49,0.034,0,"BOC"
0,-2.52722555637814,0.576,0.81,0,"CYBA"
0,-2.11540506189703,0.647,0.844,0,"HLA-E"
0,-2.10929384590063,0.691,0.876,0,"HLA-C"
0,-2.07590072692653,0.721,0.884,0,"HLA-B"
0,-1.87189336188315,0.934,0.967,0,"B2M"
6.50961573732022e-306,3.06956856058564,0.531,0.07,2.11139386439981e-301,"ZFHX4"
2.50534946724733e-305,3.7359143242732,0.564,0.099,8.12610099701672e-301,"FBLN1"
4.2750947267826e-304,-3.60769545885196,0.076,0.526,1.38662697463194e-299,"HCST"
3.29943170184924e-303,-3.41618246529391,0.084,0.537,1.0701706724948e-298,"LAPTM5"
2.1082769071425e-301,-3.08520496663506,0.377,0.737,6.8381961483167e-297,"CD74"
3.60373854637115e-301,3.01793021313456,0.501,0.049,1.16887259751548e-296,"EGFR"
4.08009117769029e-301,1.75329217355926,0.835,0.413,1.32337757348384e-296,"TTC3"
7.81512444276017e-300,1.96496975213924,0.676,0.167,2.53483561300926e-295,"NFIB"
1.4545637023315e-299,1.58162639303154,0.779,0.258,4.71787736851221e-295,"NGFRAP1"
2.06922513553747e-299,-3.40476980443524,0.096,0.542,6.71153172711577e-295,"GMFG"
3.39062394908876e-298,3.03590071002074,0.574,0.112,1.09974887788694e-293,"IGF2"
2.02619306069973e-295,2.49234265199,0.565,0.104,6.57195719237957e-291,"GPX8"
