"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TSSC4",1.92643649980631e-07,0.315695839180722,0.429,0.222,0.00624839678712177
"STK39",1.93282502547655e-07,0.283021566258546,0.379,0.193,0.00626911797013318
"EHMT1",1.93850447531159e-07,0.317820527620967,0.542,0.305,0.00628753926567315
"S100A13",1.94475070890582e-07,0.45461872177698,0.65,0.397,0.00630779892433602
"WARS2",1.96145206707088e-07,0.280398464816254,0.32,0.148,0.0063619697795444
"DHX32",1.97767902631921e-07,0.577527904773756,0.31,0.146,0.00641460192186637
"BCAR1",2.02165839804269e-07,0.210014581448996,0.384,0.187,0.00655724901405148
"ID1",2.0546339832191e-07,0.758647683726117,0.522,0.311,0.00666420532457115
"KAT6B",2.05473494774436e-07,0.290646023908062,0.527,0.294,0.00666453280300884
"RREB1",2.06107423048681e-07,0.466535058175553,0.394,0.204,0.00668509426658397
"SEC63",2.06457987632852e-07,0.212005192644224,0.65,0.391,0.00669646482887156
"DDHD2",2.07330097985684e-07,0.181483407025627,0.335,0.156,0.00672475172816564
"CIR1",2.07506055682742e-07,0.28205014312107,0.66,0.386,0.00673045891606973
"FBXO11",2.07717492609034e-07,0.41435842802261,0.591,0.363,0.006737316872774
"TMA16",2.0781090710713e-07,0.463897621009457,0.36,0.173,0.00674034677201976
"CSPG4",2.08309479060667e-07,0.230856797177456,0.266,0.116,0.00675651795333275
"TCF3",2.08850368997273e-07,0.31962704869134,0.419,0.216,0.00677406171842654
"SENP6",2.08922278577181e-07,0.305357367379245,0.704,0.423,0.00677639410565088
"PITRM1",2.10921548420678e-07,0.524864794753506,0.256,0.112,0.00684124042302468
"TENC1",2.11277809899158e-07,0.22896665882762,0.478,0.248,0.00685279576407919
"ULK4",2.11313548164922e-07,0.789554756180057,0.315,0.155,0.00685395493472923
"TFG",2.12170746787991e-07,0.329150376859936,0.65,0.383,0.0068817581720685
"ISYNA1",2.12294782657369e-07,0.370772453320388,0.419,0.218,0.00688578127549177
"AGPAT3",2.13515791462969e-07,0.136852025039398,0.443,0.228,0.0069253846961014
"CCDC115",2.14260498100609e-07,0.375873598723157,0.379,0.187,0.00694953925589327
"TP53RK",2.14591622053164e-07,0.392610306674811,0.3,0.137,0.00696027926129438
"CSNK2A1",2.15018863071129e-07,0.407395234323767,0.567,0.32,0.00697413682371206
"DNM3OS",2.15112151210637e-07,0.178912826736682,0.271,0.117,0.00697716262451703
"KIAA2026",2.15173902282289e-07,0.304649597874687,0.488,0.266,0.00697916552052603
"LCMT1",2.15737876996776e-07,0.374719805556615,0.369,0.185,0.00699745804039043
"KIAA1432",2.16481424217782e-07,0.236950120755164,0.424,0.216,0.00702157499450376
"TXLNA",2.1661065699743e-07,0.472286441633035,0.473,0.26,0.00702576665971165
"FAM126B",2.17261657433446e-07,0.397644004447887,0.374,0.188,0.00704688185885383
"ANXA11",2.18184944144381e-07,0.289629348269999,0.586,0.34,0.00707682866332301
"UBE2Q2",2.19150619316829e-07,0.291956756479111,0.473,0.254,0.00710815033754134
"SPATA6",2.2170909214732e-07,0.35067597461484,0.453,0.247,0.00719113440379832
"BCR",2.22700240813926e-07,0.363396338097112,0.251,0.107,0.00722328231079969
"PAN3",2.23633806115368e-07,0.340689798299256,0.522,0.282,0.00725356250135197
"ANKRD28",2.25753324160294e-07,0.701213924660463,0.478,0.293,0.00732230906913915
"BPTF",2.27391677546096e-07,0.32350865397066,0.828,0.576,0.00737544906120762
"KDM1A",2.27721713479943e-07,0.463661084970665,0.448,0.237,0.00738615377672196
"PRPF38A",2.28157406500516e-07,0.358683658589162,0.429,0.22,0.00740028547984425
"YES1",2.3051593930379e-07,0.33170296761395,0.453,0.239,0.00747678449131843
"FAM193A",2.32568761680186e-07,0.317117799509331,0.424,0.22,0.00754336778509685
"NARF",2.33131921695176e-07,0.180812537607669,0.473,0.252,0.00756163388018303
"ZNF445",2.3347619230184e-07,0.711653527894367,0.261,0.113,0.00757280029731017
"LRP6",2.34150772412298e-07,0.317902624407703,0.498,0.27,0.00759468030319288
"NPEPPS",2.35091476441189e-07,0.30151463365559,0.557,0.32,0.00762519203836997
"XPO4",2.35161412568617e-07,0.626914506175633,0.369,0.192,0.00762746041666311
"NDUFS1",2.36531378120363e-07,0.343494845529532,0.493,0.271,0.00767189524933399
"WTAP",2.37196336806669e-07,0.215974594687874,0.655,0.4,0.00769346318432429
"VPS51",2.40206256745054e-07,0.440729601548678,0.374,0.186,0.00779108993752584
"LRP12",2.40397030436945e-07,0.577135595739967,0.36,0.179,0.0077972776822223
"PRAF2",2.40667643772536e-07,0.625815085579671,0.276,0.125,0.00780605502576219
"DNAJC10",2.41453791255791e-07,0.244678189071044,0.488,0.264,0.00783155371938159
"SUMF1",2.41532964638778e-07,0.378463869886756,0.424,0.223,0.00783412170805878
"ATG10",2.41913083600239e-07,0.353426424569763,0.345,0.167,0.00784645086657374
"AKT2",2.4259071626596e-07,0.180388401728045,0.438,0.223,0.0078684298820864
"PDE8A",2.42969032097013e-07,0.395277906627933,0.557,0.329,0.0078807005560666
"HGS",2.43340639227982e-07,0.131828229936357,0.394,0.195,0.00789275363335959
"MED13L",2.44243312097779e-07,0.47822958234597,0.631,0.397,0.00792203182789146
"PPIL2",2.44566730492857e-07,0.727788103261196,0.256,0.112,0.00793252190353581
"WDR73",2.44777523271088e-07,0.369526260434834,0.355,0.175,0.00793935896729774
"CCDC149",2.45190442050397e-07,0.596299005418531,0.271,0.121,0.00795275198790463
"KCNQ1OT1",2.45580241923628e-07,0.569109454417561,0.64,0.436,0.00796539514679286
"CSTF3",2.45935689408491e-07,0.211071389475275,0.335,0.157,0.00797692408596441
"IKBKAP",2.49678150647254e-07,0.527010216303959,0.271,0.12,0.00809831081624368
"SLC25A26",2.49754034004686e-07,0.406740214425636,0.384,0.19,0.00810077209294199
"MAST2",2.50027334194854e-07,0.319978358997678,0.335,0.162,0.00810963658461011
"NPRL3",2.50136522103725e-07,0.360371689137219,0.433,0.224,0.00811317809443431
"SART3",2.51681405087693e-07,0.445295677458053,0.335,0.16,0.00816328637401932
"PTCHD3P1",2.54319000327916e-07,0.524237394743796,0.399,0.205,0.00824883677563596
"MAN2A2",2.55566582280334e-07,0.494744324406914,0.256,0.109,0.00828930209626264
"KLHL22",2.59688176283477e-07,0.251894486939075,0.266,0.117,0.00842298599775456
"TAF12",2.59923167462283e-07,0.338135433065533,0.433,0.225,0.00843060793663914
"ODF2L",2.6027830613575e-07,0.180587728662491,0.537,0.297,0.00844212685951306
"GOLPH3",2.60781836816973e-07,0.38465530508585,0.498,0.288,0.0084584588771585
